order_id,order_time,delivery_time,distance_km,order_value,city
1,2024-01-02 01:31:00,2024-01-02 02:08:00,4.24,171,Mumbai
2,2024-01-22 00:10:00,2024-01-22 00:54:00,8.98,205,Mumbai
3,2024-01-06 20:41:00,2024-01-06 21:42:00,6.82,273,Hyderabad
4,2024-01-30 15:09:00,2024-01-30 15:45:00,2.83,277,Mumbai
5,2024-01-10 13:45:00,2024-01-10 14:42:00,7.07,215,Chennai
6,2024-01-10 19:38:00,2024-01-10 20:34:00,6.13,255,Bangalore
7,2024-01-27 22:38:00,2024-01-27 23:49:00,6.9,150,Bangalore
8,2024-01-19 10:05:00,2024-01-19 10:43:00,9.27,329,Mumbai
9,2024-01-31 06:51:00,2024-01-31 07:34:00,5.85,102,Mumbai
10,2024-01-04 21:18:00,2024-01-04 22:24:00,6.48,380,Mumbai
11,2024-01-22 20:56:00,2024-01-22 21:53:00,8.9,442,Bangalore
12,2024-01-10 04:00:00,2024-01-10 04:47:00,9.06,227,Mumbai
13,2024-01-23 15:48:00,2024-01-23 16:31:00,7.34,149,Chennai
14,2024-01-25 22:59:00,2024-01-26 00:03:00,9.71,283,Hyderabad
15,2024-01-30 12:12:00,2024-01-30 13:00:00,6.6,208,Delhi
16,2024-01-14 05:56:00,2024-01-14 06:34:00,5.28,392,Hyderabad
17,2024-01-04 02:39:00,2024-01-04 03:02:00,1.71,243,Bangalore
18,2024-01-19 00:56:00,2024-01-19 01:37:00,7.54,327,Chennai
19,2024-01-30 22:06:00,2024-01-30 23:08:00,3.17,459,Mumbai
20,2024-01-13 14:35:00,2024-01-13 15:22:00,7.02,196,Delhi
21,2024-01-03 01:01:00,2024-01-03 01:28:00,1.78,113,Chennai
22,2024-01-02 17:22:00,2024-01-02 18:03:00,6.01,188,Delhi
23,2024-01-09 07:47:00,2024-01-09 08:21:00,5.29,165,Mumbai
24,2024-01-20 19:29:00,2024-01-20 20:28:00,3.08,114,Mumbai
25,2024-01-21 23:41:00,2024-01-22 00:32:00,9.57,278,Chennai
26,2024-01-22 20:59:00,2024-01-22 22:15:00,9.32,440,Bangalore
27,2024-01-29 07:19:00,2024-01-29 07:48:00,1.45,110,Chennai
28,2024-01-01 12:38:00,2024-01-01 13:40:00,7.72,244,Mumbai
29,2024-01-09 07:02:00,2024-01-09 07:36:00,3.13,231,Mumbai
30,2024-01-13 11:37:00,2024-01-13 12:21:00,8.39,318,Delhi
31,2024-01-20 13:21:00,2024-01-20 14:05:00,1.73,101,Delhi
32,2024-01-18 16:29:00,2024-01-18 16:55:00,1.68,194,Chennai
33,2024-01-27 05:55:00,2024-01-27 06:43:00,8.93,481,Hyderabad
34,2024-01-28 21:16:00,2024-01-28 22:07:00,5.31,477,Mumbai
35,2024-01-07 19:32:00,2024-01-07 20:21:00,1.86,479,Delhi
36,2024-01-10 01:35:00,2024-01-10 02:09:00,4.34,471,Hyderabad
37,2024-01-17 20:25:00,2024-01-17 21:39:00,8.72,447,Bangalore
38,2024-01-03 10:22:00,2024-01-03 11:09:00,9.29,338,Hyderabad
39,2024-01-25 18:49:00,2024-01-25 19:31:00,5.27,369,Mumbai
40,2024-01-13 00:10:00,2024-01-13 00:38:00,2.82,333,Delhi
41,2024-01-17 13:27:00,2024-01-17 14:28:00,9.02,282,Mumbai
42,2024-01-17 10:32:00,2024-01-17 11:17:00,5.79,261,Hyderabad
43,2024-01-20 13:41:00,2024-01-20 14:36:00,6.35,449,Chennai
44,2024-01-02 16:50:00,2024-01-02 17:26:00,1.7,371,Delhi
45,2024-01-07 16:35:00,2024-01-07 17:01:00,1.77,100,Delhi
46,2024-01-29 04:28:00,2024-01-29 05:19:00,9.5,333,Hyderabad
47,2024-01-08 01:57:00,2024-01-08 02:30:00,6.38,121,Bangalore
48,2024-01-24 09:31:00,2024-01-24 10:01:00,5.14,466,Hyderabad
49,2024-01-08 20:38:00,2024-01-08 21:40:00,2.55,246,Bangalore
50,2024-01-01 00:09:00,2024-01-01 00:50:00,9.76,462,Bangalore
51,2024-01-05 02:46:00,2024-01-05 03:27:00,4.06,197,Chennai
52,2024-01-10 17:52:00,2024-01-10 18:21:00,2.16,180,Delhi
53,2024-01-17 15:05:00,2024-01-17 15:48:00,9.9,380,Hyderabad
54,2024-01-15 14:08:00,2024-01-15 15:09:00,7.11,215,Chennai
55,2024-01-26 09:01:00,2024-01-26 09:49:00,9.44,197,Chennai
56,2024-01-29 23:24:00,2024-01-30 00:02:00,9.22,481,Hyderabad
57,2024-01-15 12:02:00,2024-01-15 13:06:00,7.9,337,Bangalore
58,2024-01-24 21:04:00,2024-01-24 22:02:00,1.69,356,Mumbai
59,2024-01-15 00:31:00,2024-01-15 01:09:00,6.08,281,Mumbai
60,2024-01-01 18:21:00,2024-01-01 18:57:00,6.53,471,Bangalore
61,2024-01-13 18:22:00,2024-01-13 18:57:00,6.28,461,Delhi
62,2024-01-06 20:55:00,2024-01-06 22:08:00,9.58,323,Delhi
63,2024-01-01 00:26:00,2024-01-01 00:55:00,4.45,332,Mumbai
64,2024-01-06 23:32:00,2024-01-07 00:13:00,6.24,414,Chennai
65,2024-01-30 06:49:00,2024-01-30 07:40:00,8.82,459,Bangalore
66,2024-01-27 14:29:00,2024-01-27 15:18:00,2.64,154,Mumbai
67,2024-01-06 21:24:00,2024-01-06 22:30:00,4.74,470,Bangalore
68,2024-01-05 20:58:00,2024-01-05 21:54:00,2.07,412,Hyderabad
69,2024-01-21 11:26:00,2024-01-21 12:08:00,9.64,412,Mumbai
70,2024-01-20 01:10:00,2024-01-20 01:41:00,3.6,357,Bangalore
71,2024-01-28 08:06:00,2024-01-28 08:43:00,7.74,366,Hyderabad
72,2024-01-06 09:57:00,2024-01-06 10:47:00,9.92,473,Mumbai
73,2024-01-17 11:28:00,2024-01-17 12:10:00,9.51,251,Chennai
74,2024-01-06 09:22:00,2024-01-06 09:59:00,8.19,165,Mumbai
75,2024-01-23 19:51:00,2024-01-23 20:58:00,8.17,205,Mumbai
76,2024-01-03 09:58:00,2024-01-03 10:35:00,5.31,158,Delhi
77,2024-01-30 14:28:00,2024-01-30 15:17:00,7.85,118,Delhi
78,2024-01-15 11:35:00,2024-01-15 12:08:00,2.5,454,Delhi
79,2024-01-28 05:38:00,2024-01-28 06:27:00,7.78,478,Bangalore
80,2024-01-27 06:51:00,2024-01-27 07:32:00,4.76,456,Delhi
81,2024-01-02 20:11:00,2024-01-02 20:54:00,1.18,231,Bangalore
82,2024-01-17 10:40:00,2024-01-17 11:20:00,3.07,395,Chennai
83,2024-01-18 15:25:00,2024-01-18 15:57:00,6.47,204,Delhi
84,2024-01-06 22:55:00,2024-01-06 23:47:00,6.03,150,Chennai
85,2024-01-09 13:09:00,2024-01-09 13:58:00,7.35,411,Chennai
86,2024-01-07 10:32:00,2024-01-07 11:13:00,4.9,165,Mumbai
87,2024-01-10 14:17:00,2024-01-10 14:52:00,2.58,333,Bangalore
88,2024-01-09 10:47:00,2024-01-09 11:36:00,9.84,163,Hyderabad
89,2024-01-12 22:38:00,2024-01-12 23:52:00,8.59,365,Bangalore
90,2024-01-03 10:39:00,2024-01-03 11:21:00,6.61,105,Delhi
91,2024-01-29 04:10:00,2024-01-29 04:51:00,7.39,264,Mumbai
92,2024-01-21 16:11:00,2024-01-21 16:33:00,1.4,238,Mumbai
93,2024-01-23 02:49:00,2024-01-23 03:36:00,9.61,279,Mumbai
94,2024-01-02 02:44:00,2024-01-02 03:21:00,1.77,446,Hyderabad
95,2024-01-18 06:25:00,2024-01-18 07:05:00,7.37,106,Bangalore
96,2024-01-21 08:03:00,2024-01-21 08:48:00,7.29,481,Bangalore
97,2024-01-24 07:49:00,2024-01-24 08:15:00,2.82,218,Bangalore
98,2024-01-25 22:43:00,2024-01-25 23:53:00,8.59,121,Hyderabad
99,2024-01-13 17:02:00,2024-01-13 17:51:00,7.63,221,Delhi
100,2024-01-13 00:07:00,2024-01-13 00:43:00,4.19,140,Hyderabad
101,2024-01-23 03:28:00,2024-01-23 03:50:00,1.35,252,Delhi
102,2024-01-30 15:45:00,2024-01-30 16:28:00,5.98,254,Hyderabad
103,2024-01-25 17:20:00,2024-01-25 17:59:00,8.88,167,Chennai
104,2024-01-04 19:17:00,2024-01-04 20:14:00,5.1,238,Hyderabad
105,2024-01-21 23:35:00,2024-01-22 00:19:00,8.82,361,Delhi
106,2024-01-28 02:33:00,2024-01-28 03:19:00,9.39,273,Chennai
107,2024-01-07 14:47:00,2024-01-07 15:33:00,6.75,217,Bangalore
108,2024-01-16 02:39:00,2024-01-16 03:24:00,7.64,136,Hyderabad
109,2024-01-04 15:55:00,2024-01-04 16:47:00,9.86,352,Mumbai
110,2024-01-27 12:35:00,2024-01-27 13:22:00,2.25,463,Bangalore
111,2024-01-15 20:50:00,2024-01-15 21:58:00,9.41,258,Hyderabad
112,2024-01-17 09:47:00,2024-01-17 10:25:00,2.12,269,Hyderabad
113,2024-01-29 07:29:00,2024-01-29 08:03:00,3.73,184,Chennai
114,2024-01-09 06:39:00,2024-01-09 07:19:00,7.61,402,Chennai
115,2024-01-02 00:55:00,2024-01-02 01:25:00,2.4,467,Mumbai
116,2024-01-24 15:53:00,2024-01-24 16:36:00,7.75,105,Bangalore
117,2024-01-29 23:35:00,2024-01-30 00:20:00,7.81,172,Hyderabad
118,2024-01-20 06:56:00,2024-01-20 07:34:00,3.97,141,Mumbai
119,2024-01-07 14:42:00,2024-01-07 15:16:00,1.67,308,Mumbai
120,2024-01-23 07:09:00,2024-01-23 07:41:00,4.48,174,Delhi
121,2024-01-29 09:07:00,2024-01-29 09:51:00,8.64,414,Chennai
122,2024-01-23 09:47:00,2024-01-23 10:27:00,7.87,140,Chennai
123,2024-01-08 12:59:00,2024-01-08 14:07:00,9.84,395,Chennai
124,2024-01-29 01:40:00,2024-01-29 02:13:00,1.6,477,Mumbai
125,2024-01-10 07:15:00,2024-01-10 07:51:00,1.44,419,Delhi
126,2024-01-12 05:40:00,2024-01-12 06:23:00,6.42,227,Bangalore
127,2024-01-07 21:52:00,2024-01-07 22:46:00,2.54,369,Delhi
128,2024-01-04 11:31:00,2024-01-04 12:06:00,5.77,425,Hyderabad
129,2024-01-28 03:31:00,2024-01-28 04:08:00,7.72,323,Delhi
130,2024-01-28 20:01:00,2024-01-28 21:08:00,6.88,215,Delhi
131,2024-01-29 18:36:00,2024-01-29 19:07:00,3.01,176,Delhi
132,2024-01-12 03:23:00,2024-01-12 04:01:00,9.06,332,Chennai
133,2024-01-31 15:48:00,2024-01-31 16:27:00,2.63,306,Chennai
134,2024-01-07 07:27:00,2024-01-07 08:10:00,6.88,186,Mumbai
135,2024-01-30 06:39:00,2024-01-30 07:06:00,3.3,313,Delhi
136,2024-01-24 15:34:00,2024-01-24 16:12:00,8.59,386,Hyderabad
137,2024-01-24 06:37:00,2024-01-24 07:20:00,7.9,140,Chennai
138,2024-01-07 23:09:00,2024-01-07 23:50:00,3.66,129,Bangalore
139,2024-01-04 16:03:00,2024-01-04 16:48:00,7.26,252,Delhi
140,2024-01-01 15:46:00,2024-01-01 16:21:00,4.98,250,Chennai
141,2024-01-01 10:36:00,2024-01-01 11:08:00,6.21,496,Delhi
142,2024-01-04 03:09:00,2024-01-04 03:41:00,4.79,110,Chennai
143,2024-01-28 02:23:00,2024-01-28 02:54:00,2.0,290,Delhi
144,2024-01-14 02:58:00,2024-01-14 03:49:00,10.0,188,Delhi
145,2024-01-18 05:37:00,2024-01-18 06:18:00,6.86,332,Mumbai
146,2024-01-04 20:45:00,2024-01-04 21:37:00,2.74,340,Delhi
147,2024-01-29 14:16:00,2024-01-29 15:08:00,6.93,303,Hyderabad
148,2024-01-05 12:26:00,2024-01-05 13:17:00,5.59,368,Mumbai
149,2024-01-14 13:53:00,2024-01-14 14:44:00,1.93,210,Chennai
150,2024-01-31 16:54:00,2024-01-31 17:30:00,3.86,435,Bangalore
151,2024-01-17 05:15:00,2024-01-17 05:48:00,2.84,266,Bangalore
152,2024-01-15 14:44:00,2024-01-15 15:30:00,4.51,431,Hyderabad
153,2024-01-05 15:39:00,2024-01-05 16:12:00,1.87,129,Mumbai
154,2024-01-17 06:24:00,2024-01-17 07:12:00,7.1,389,Chennai
155,2024-01-26 16:10:00,2024-01-26 16:35:00,2.56,165,Hyderabad
156,2024-01-21 18:40:00,2024-01-21 19:08:00,3.72,434,Bangalore
157,2024-01-15 07:24:00,2024-01-15 08:07:00,9.69,264,Delhi
158,2024-01-03 02:27:00,2024-01-03 03:02:00,4.04,483,Delhi
159,2024-01-04 02:28:00,2024-01-04 03:11:00,5.06,333,Chennai
160,2024-01-01 16:52:00,2024-01-01 17:37:00,8.22,454,Delhi
161,2024-01-27 22:47:00,2024-01-27 23:49:00,6.32,270,Chennai
162,2024-01-08 05:59:00,2024-01-08 06:32:00,2.47,233,Delhi
163,2024-01-02 14:28:00,2024-01-02 15:22:00,5.67,450,Delhi
164,2024-01-12 15:32:00,2024-01-12 16:08:00,3.67,252,Bangalore
165,2024-01-11 18:26:00,2024-01-11 19:05:00,3.58,244,Bangalore
166,2024-01-08 06:04:00,2024-01-08 06:34:00,5.4,165,Chennai
167,2024-01-13 04:40:00,2024-01-13 05:06:00,2.24,340,Bangalore
168,2024-01-31 13:44:00,2024-01-31 14:25:00,5.25,308,Hyderabad
169,2024-01-02 12:35:00,2024-01-02 13:11:00,1.23,367,Delhi
170,2024-01-21 16:16:00,2024-01-21 16:57:00,7.89,413,Bangalore
171,2024-01-11 12:32:00,2024-01-11 13:24:00,7.61,298,Delhi
172,2024-01-10 13:13:00,2024-01-10 14:07:00,4.05,187,Bangalore
173,2024-01-08 20:44:00,2024-01-08 21:42:00,4.51,291,Mumbai
174,2024-01-16 23:16:00,2024-01-16 23:52:00,5.85,305,Delhi
175,2024-01-16 16:37:00,2024-01-16 17:19:00,4.31,293,Bangalore
176,2024-01-31 11:31:00,2024-01-31 12:08:00,3.94,456,Bangalore
177,2024-01-23 16:40:00,2024-01-23 17:29:00,8.49,106,Chennai
178,2024-01-16 01:02:00,2024-01-16 01:36:00,3.19,284,Chennai
179,2024-01-20 09:26:00,2024-01-20 10:01:00,3.0,374,Delhi
180,2024-01-27 13:48:00,2024-01-27 14:34:00,7.15,389,Hyderabad
181,2024-01-08 22:18:00,2024-01-08 23:09:00,1.15,394,Chennai
182,2024-01-09 01:45:00,2024-01-09 02:21:00,3.62,259,Bangalore
183,2024-01-12 15:08:00,2024-01-12 15:38:00,3.54,203,Delhi
184,2024-01-16 12:08:00,2024-01-16 13:00:00,4.08,118,Mumbai
185,2024-01-15 00:28:00,2024-01-15 01:02:00,4.56,344,Mumbai
186,2024-01-23 12:56:00,2024-01-23 13:48:00,4.88,372,Delhi
187,2024-01-30 15:39:00,2024-01-30 16:19:00,6.64,207,Delhi
188,2024-01-28 09:20:00,2024-01-28 10:06:00,8.02,216,Bangalore
189,2024-01-11 19:34:00,2024-01-11 20:41:00,6.71,186,Bangalore
190,2024-01-08 19:55:00,2024-01-08 21:13:00,9.94,243,Chennai
191,2024-01-25 21:15:00,2024-01-25 22:13:00,8.59,288,Delhi
192,2024-01-20 20:02:00,2024-01-20 21:02:00,7.3,387,Hyderabad
193,2024-01-14 04:01:00,2024-01-14 04:42:00,5.06,244,Chennai
194,2024-01-24 13:59:00,2024-01-24 14:38:00,4.08,354,Bangalore
195,2024-01-26 15:08:00,2024-01-26 15:50:00,6.74,359,Mumbai
196,2024-01-10 16:16:00,2024-01-10 16:55:00,6.61,422,Delhi
197,2024-01-10 19:14:00,2024-01-10 20:26:00,9.71,335,Mumbai
198,2024-01-22 17:06:00,2024-01-22 17:48:00,9.65,363,Bangalore
199,2024-01-14 16:09:00,2024-01-14 16:43:00,6.96,464,Chennai
200,2024-01-10 10:31:00,2024-01-10 11:10:00,8.35,280,Bangalore
201,2024-01-01 00:14:00,2024-01-01 00:56:00,6.13,468,Bangalore
202,2024-01-10 10:27:00,2024-01-10 11:06:00,8.6,356,Delhi
203,2024-01-18 15:41:00,2024-01-18 16:25:00,7.92,411,Bangalore
204,2024-01-22 11:53:00,2024-01-22 12:34:00,7.61,299,Delhi
205,2024-01-30 09:27:00,2024-01-30 09:53:00,2.08,385,Hyderabad
